"filename", "language", "YAML", "Markdown", "Shell Script", "Mermaid Radar", "PowerShell", "Docker", "JavaScript", "Python", "JavaScript JSX", "PostCSS", "MS SQL", "Ini", "Ignore", "pip requirements", "JSON", "HTML", "comment", "blank", "total"
"c:\Users\Carlos\Desktop\Proyectos\poc-asistente-tecnico\frontend\src\components\Diagnosis\DiagnosisResult.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 78, 0, 0, 0, 0, 0, 0, 0, 13, 13, 104
"c:\Users\Carlos\Desktop\Proyectos\poc-asistente-tecnico\frontend\src\components\Diagnosis\HypothesisList.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 3, 2, 26
"c:\Users\Carlos\Desktop\Proyectos\poc-asistente-tecnico\frontend\src\components\UI\ErrorMessage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 3, 1, 21
"c:\Users\Carlos\Desktop\Proyectos\poc-asistente-tecnico\frontend\src\components\UI\FeedbackModal.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 87, 0, 0, 0, 0, 0, 0, 0, 3, 8, 98
"c:\Users\Carlos\Desktop\Proyectos\poc-asistente-tecnico\frontend\src\components\UI\HealthIndicator.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 4, 6, 40
"c:\Users\Carlos\Desktop\Proyectos\poc-asistente-tecnico\frontend\src\components\UI\PhaseBar.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 7, 5, 63
"c:\Users\Carlos\Desktop\Proyectos\poc-asistente-tecnico\frontend\src\components\UI\SessionSummaryPanel.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 141, 0, 0, 0, 0, 0, 0, 0, 13, 13, 167
"c:\Users\Carlos\Desktop\Proyectos\poc-asistente-tecnico\frontend\src\components\UI\Spinner.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 3, 1, 12
"c:\Users\Carlos\Desktop\Proyectos\poc-asistente-tecnico\frontend\src\hooks\useChat.js", "JavaScript", 0, 0, 0, 0, 0, 0, 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 12, 111
"c:\Users\Carlos\Desktop\Proyectos\poc-asistente-tecnico\frontend\src\hooks\useSession.js", "JavaScript", 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 7, 48
"c:\Users\Carlos\Desktop\Proyectos\poc-asistente-tecnico\frontend\src\index.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 5, 7, 46
"c:\Users\Carlos\Desktop\Proyectos\poc-asistente-tecnico\frontend\src\main.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"c:\Users\Carlos\Desktop\Proyectos\poc-asistente-tecnico\frontend\src\services\api.js", "JavaScript", 0, 0, 0, 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 73, 18, 159
"c:\Users\Carlos\Desktop\Proyectos\poc-asistente-tecnico\frontend\src\utils\messageTypes.js", "JavaScript", 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 3, 24
"c:\Users\Carlos\Desktop\Proyectos\poc-asistente-tecnico\frontend\tailwind.config.js", "JavaScript", 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 16
"c:\Users\Carlos\Desktop\Proyectos\poc-asistente-tecnico\frontend\vite.config.js", "JavaScript", 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 26
"c:\Users\Carlos\Desktop\Proyectos\poc-asistente-tecnico\scripts\reset_db.sh", "Shell Script", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7, 37
"c:\Users\Carlos\Desktop\Proyectos\poc-asistente-tecnico\scripts\run-flujo-guiado.ps1", "PowerShell", 0, 0, 0, 0, 133, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 21, 161
"c:\Users\Carlos\Desktop\Proyectos\poc-asistente-tecnico\scripts\seed_db.sh", "Shell Script", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 26
"Total", "-", 58, 3663, 41, 232, 133, 25, 238, 3009, 2224, 34, 771, 6, 20, 14, 29, 14, 908, 1997, 13416
